sawtooth,data,point
3363.6346875,3381,9
3368.754375,3386,10
3373.8740625,3394,11
3378.99375,3399,12
3384.1134375,3403,13
3389.233125,3410,14
3394.3528125,3416,15
3399.4725,3417,16
3404.5921875,3419,17
3409.711875,3423,18
3414.8315625,3427,19
3419.95125,3430,20
3425.0709375,3434,21
3430.190625,3440,22
3435.3103125,3447,23
3440.43,3450,24
3445.5496875,3464,25
3450.669375,3469,26
3455.7890625,3477,27
3460.90875,3485,28
3466.0284375,3490,29
3471.148125,3494,30
3476.2678125,3503,31
3481.3875,3501,32
3486.5071875,3502,33
3491.626875,3510,34
3496.7465625,3513,35
3501.86625,3517,36
3506.9859375,3523,37
3512.105625,3528,38
3517.2253125,3532,39
3522.345,3540,40
3527.4646875,3551,41
3532.584375,3557,42
3537.7040625,3560,43
3542.82375,3569,44
3547.9434375,3571,45
3553.063125,3576,46
3558.1828125,3581,47
3563.3025,3584,48
3568.4221875,3585,49
3573.541875,3589,50
3578.6615625,3595,51
3583.78125,3597,52
3588.9009375,3606,53
3594.020625,3606,54
3599.1403125,3613,55
3604.26,3622,56
3609.3796875,3625,57
3614.499375,3638,58
3619.6190625,3644,59
3624.73875,3653,60
3629.8584375,3655,61
3634.978125,3661,62
3640.0978125,3666,63
3645.2175,3669,0
3650.3371875,3668,1
3655.456875,3675,2
3660.5765625,3678,3
3665.69625,3684,4
3670.8159375,3689,5
3675.935625,3694,6
3681.0553125,3699,7
3686.175,3706,8
3691.2946875,3715,9
3696.414375,3720,10
3701.5340625,3728,11
3706.65375,3735,12
3711.7734375,3738,13
3716.893125,3746,14
3722.0128125,3751,15
3727.1325,3748,16
3732.2521875,3752,17
3737.371875,3757,18
3742.4915625,3763,19
3747.61125,3765,20
3752.7309375,3767,21
3757.850625,3776,22
3762.9703125,3783,23
3768.09,3789,24
3773.2096875,3794,25
3778.329375,3804,26
3783.4490625,3812,27
3788.56875,3817,28
3793.6884375,3823,29
3798.808125,3830,30
3803.9278125,3834,31
3809.0475,3834,32
3814.1671875,3835,33
3819.286875,3840,34
3824.4065625,3843,35
3829.52625,3849,36
3834.6459375,3857,37
3839.765625,3859,38
3844.8853125,3862,39
3850.005,3871,40
3855.1246875,3880,41
3860.244375,3886,42
3865.3640625,3892,43
3870.48375,3901,44
3875.6034375,3905,45
3880.723125,3909,46
3885.8428125,3912,47
3890.9625,3914,48
3896.0821875,3917,49
3901.201875,3920,50
3906.3215625,3925,51
3911.44125,3931,52
3916.5609375,3932,53
3921.680625,3939,54
3926.8003125,3945,55
3931.92,3949,56
3937.0396875,3960,57
3942.159375,3971,58
3947.2790625,3974,59
3952.39875,3981,60
3957.5184375,3987,61
3962.638125,3994,62
3967.7578125,3999,63
3972.8775,3998,0
3977.9971875,4004,1
3983.116875,4003,2
3988.2365625,4008,3
3993.35625,4014,4
3998.4759375,4020,5
4003.595625,4024,6
4008.7153125,4029,7
4013.835,4042,8
4018.9546875,4041,9
4024.074375,4054,10
4029.1940625,4059,11
4034.31375,4064,12
4039.4334375,4067,13
4044.553125,4073,14
4049.6728125,4081,15
4054.7925,4078,16
4059.9121875,4082,17
4065.031875,4085,18
4070.1515625,4090,19
4075.27125,4094,20
4080.3909375,4103,21
4085.510625,4104,22
4090.6303125,4109,23
4095.75,4115,24
4100.8696875,4125,25
4105.989375,4130,26
4111.1090625,4139,27
4116.22875,4145,28
4121.3484375,4151,29
4126.468125,4160,30
4131.5878125,4160,31
4136.7075,4163,32
4141.8271875,4162,33
4146.946875,4168,34
4152.0665625,4173,35
4157.18625,4176,36
4162.3059375,4183,37
4167.425625,4184,38
4172.5453125,4197,39
4177.665,4200,40
4182.7846875,4210,41
4187.904375,4217,42
4193.0240625,4221,43
4198.14375,4225,44
4203.2634375,4232,45
4208.383125,4234,46
4213.5028125,4242,47
4218.6225,4241,48
4223.7421875,4242,49
4228.861875,4249,50
4233.9815625,4253,51
4239.10125,4257,52
4244.2209375,4261,53
4249.340625,4266,54
4254.4603125,4271,55
4259.58,4277,56
4264.6996875,4282,57
4269.819375,4295,58
4274.9390625,4299,59
4280.05875,4308,60
4285.1784375,4315,61
4290.298125,4315,62
4295.4178125,4320,63
4300.5375,4323,0
4305.6571875,4327,1
4310.776875,4330,2
4315.8965625,4333,3
4321.01625,4339,4
4326.1359375,4344,5
4331.255625,4348,6
